TEAM,SEASON,POINTS
Man United,1819,66
Bournemouth,1819,45
Fulham,1819,26
Huddersfield,1819,16
Newcastle,1819,45
Watford,1819,50
Wolves,1819,57
Arsenal,1819,70
Liverpool,1819,97
Southampton,1819,39
Cardiff,1819,34
Chelsea,1819,72
Everton,1819,54
Leicester,1819,52
Tottenham,1819,71
West Ham,1819,52
Brighton,1819,36
Burnley,1819,40
Man City,1819,98
Crystal Palace,1819,49
Arsenal,1718,63
Brighton,1718,40
Chelsea,1718,70
Crystal Palace,1718,44
Everton,1718,49
Southampton,1718,36
Watford,1718,41
West Brom,1718,31
Man United,1718,81
Newcastle,1718,44
Bournemouth,1718,44
Burnley,1718,54
Leicester,1718,47
Liverpool,1718,75
Stoke,1718,33
Swansea,1718,33
Huddersfield,1718,37
Tottenham,1718,77
Man City,1718,100
West Ham,1718,42
Burnley,1617,40
Crystal Palace,1617,41
Everton,1617,61
Hull,1617,34
Man City,1617,78
Middlesbrough,1617,28
Southampton,1617,46
Arsenal,1617,75
Bournemouth,1617,46
Chelsea,1617,93
Man United,1617,69
Leicester,1617,44
Stoke,1617,44
Swansea,1617,41
Tottenham,1617,86
Watford,1617,40
West Brom,1617,45
Sunderland,1617,24
West Ham,1617,45
Liverpool,1617,76
Bournemouth,1516,42
Chelsea,1516,50
Everton,1516,47
Leicester,1516,81
Man United,1516,66
Norwich,1516,34
Arsenal,1516,71
Newcastle,1516,37
Stoke,1516,51
West Brom,1516,43
Aston Villa,1516,17
Southampton,1516,63
Sunderland,1516,39
Swansea,1516,47
Tottenham,1516,70
Watford,1516,45
West Ham,1516,62
Crystal Palace,1516,42
Man City,1516,66
Liverpool,1516,60
Arsenal,1415,75
Leicester,1415,41
Man United,1415,70
QPR,1415,30
Stoke,1415,54
West Brom,1415,44
West Ham,1415,47
Liverpool,1415,62
Newcastle,1415,39
Burnley,1415,33
Aston Villa,1415,38
Chelsea,1415,87
Crystal Palace,1415,48
Everton,1415,47
Southampton,1415,60
Swansea,1415,56
Hull,1415,35
Sunderland,1415,38
Tottenham,1415,64
Man City,1415,79
Arsenal,1314,79
Liverpool,1314,84
Norwich,1314,33
Sunderland,1314,38
Swansea,1314,42
West Brom,1314,36
West Ham,1314,40
Chelsea,1314,82
Crystal Palace,1314,45
Man City,1314,86
Aston Villa,1314,38
Everton,1314,72
Fulham,1314,32
Hull,1314,37
Newcastle,1314,49
Southampton,1314,56
Stoke,1314,50
Cardiff,1314,30
Tottenham,1314,69
Man United,1314,64
Arsenal,1213,73
Fulham,1213,43
Newcastle,1213,41
QPR,1213,25
Reading,1213,28
West Brom,1213,49
West Ham,1213,46
Man City,1213,78
Wigan,1213,36
Everton,1213,63
Chelsea,1213,75
Aston Villa,1213,41
Man United,1213,89
Norwich,1213,44
Southampton,1213,41
Swansea,1213,46
Tottenham,1213,72
Liverpool,1213,61
Stoke,1213,42
Sunderland,1213,39
Blackburn,1112,31
Fulham,1112,52
Liverpool,1112,52
Newcastle,1112,65
QPR,1112,37
Wigan,1112,43
Stoke,1112,45
West Brom,1112,47
Man City,1112,89
Arsenal,1112,70
Aston Villa,1112,38
Chelsea,1112,64
Everton,1112,56
Sunderland,1112,45
Swansea,1112,47
Bolton,1112,36
Norwich,1112,47
Wolves,1112,25
Man United,1112,89
Tottenham,1112,69
Aston Villa,1011,48
Blackburn,1011,43
Bolton,1011,46
Chelsea,1011,71
Sunderland,1011,47
Tottenham,1011,62
Wigan,1011,42
Wolves,1011,40
Liverpool,1011,58
Man United,1011,80
Arsenal,1011,68
Birmingham,1011,39
Everton,1011,54
Stoke,1011,46
West Brom,1011,47
West Ham,1011,33
Fulham,1011,49
Newcastle,1011,46
Man City,1011,71
Blackpool,1011,39
Aston Villa,0910,64
Blackburn,0910,50
Bolton,0910,39
Chelsea,0910,86
Everton,0910,61
Portsmouth,0910,28
Stoke,0910,47
Wolves,0910,38
Man United,0910,85
Tottenham,0910,70
Sunderland,0910,44
Wigan,0910,36
Birmingham,0910,50
Burnley,0910,30
Hull,0910,30
Liverpool,0910,63
Arsenal,0910,75
Man City,0910,67
Fulham,0910,46
West Ham,0910,35
